id,composition,energy,structure
./Si3Mo4P7-6149_POSCAR,Mo4 P7 Si3,-1386.6440,./Si3Mo4P7-6149_POSCARPOSCAR
./Mo2P10-5484_POSCAR,Mo2 P10,-923.0880,./Mo2P10-5484_POSCARPOSCAR
./B2Mo5P2-2171_POSCAR,B2 Mo5 P2,-726.9390,./B2Mo5P2-2171_POSCARPOSCAR
./Si7B1-7009_POSCAR,B1 Si7,-339.5520,./Si7B1-7009_POSCARPOSCAR
./Si2B1Mo7P6-870_POSCAR,B1 Mo7 P6 Si2,-2076.3200,./Si2B1Mo7P6-870_POSCARPOSCAR
./Si1B1Mo2P1-5023_POSCAR,B1 Mo2 P1 Si1,-198.5350,./Si1B1Mo2P1-5023_POSCARPOSCAR
./Si2B4-448_POSCAR,B4 Si2,-214.6260,./Si2B4-448_POSCARPOSCAR
./Mo2P8-1187_POSCAR,Mo2 P8,-655.0500,./Mo2P8-1187_POSCARPOSCAR
./Si5B4P3-2588_POSCAR,B4 P3 Si5,-817.2720,./Si5B4P3-2588_POSCARPOSCAR
./Si2P2-1483_POSCAR,P2 Si2,-85.6960,./Si2P2-1483_POSCARPOSCAR
./Si2B1P4-2876_POSCAR,B1 P4 Si2,-268.6460,./Si2B1P4-2876_POSCARPOSCAR
./Si4Mo2P4-1260_POSCAR,Mo2 P4 Si4,-650.6000,./Si4Mo2P4-1260_POSCARPOSCAR
./B3Mo2-4023_POSCAR,B3 Mo2,-213.0450,./B3Mo2-4023_POSCARPOSCAR
./Mo4P6-4152_POSCAR,Mo4 P6,-777.7200,./Mo4P6-4152_POSCARPOSCAR
./Si8Mo7-6233_POSCAR,Mo7 Si8,-1843.0500,./Si8Mo7-6233_POSCARPOSCAR
./Si3B4Mo7P2-2094_POSCAR,B4 Mo7 P2 Si3,-2107.6800,./Si3B4Mo7P2-2094_POSCARPOSCAR
./Si2B7Mo3-1712_POSCAR,B7 Mo3 Si2,-1080.3960,./Si2B7Mo3-1712_POSCARPOSCAR
./Si2B1Mo6-2852_POSCAR,B1 Mo6 Si2,-760.5990,./Si2B1Mo6-2852_POSCARPOSCAR
./Mo2P4-4227_POSCAR,Mo2 P4,-268.8420,./Mo2P4-4227_POSCARPOSCAR
./Si3B3Mo10P2-6493_POSCAR,B3 Mo10 P2 Si3,-2843.8200,./Si3B3Mo10P2-6493_POSCARPOSCAR
./Si2P6-1524_POSCAR,P6 Si2,-342.0080,./Si2P6-1524_POSCARPOSCAR
