File,Energy
Si3P4-3002_POSCAR, -36.666
Si4B4P4-196_POSCAR, -69.351
Si4Mo1P5-6875_POSCAR, -58.709
Si2B4P2-5591_POSCAR, -47.537
B6Mo10-2476_POSCAR, -151.14
Si4B1Mo4P3-4783_POSCAR, -91.568
Si1Mo3P2-5398_POSCAR,  -51.01
Si7Mo5-7084_POSCAR, -94.568
Si4B2P4-2619_POSCAR, -56.822
Si2P2-4406_POSCAR, -20.703
Si3B2Mo3-6590_POSCAR, -62.774
Si6B4-4988_POSCAR, -55.075
Si1B4Mo6P4-3996_POSCAR,  -120.9
Si4Mo1P5-7238_POSCAR, -59.129
B4Mo7P3-6954_POSCAR, -122.47
Si4B2P4-4262_POSCAR, -55.997
Si9B4P5-3342_POSCAR, -100.58
B1Mo1P2-2037_POSCAR,  -28.14
Si1Mo1P2-4829_POSCAR, -27.347
Si1B3Mo3P1-6722_POSCAR, -65.317
Si7B3-5004_POSCAR, -54.164
P4-3556_POSCAR, -19.839
Si6Mo6-3468_POSCAR, -99.363
Si2B1Mo6P6-3421_POSCAR, -118.96
Si2B1P2-3862_POSCAR, -27.869
Si5B3Mo10-7171_POSCAR,  -160.4
B5Mo4P1-2469_POSCAR, -83.342
Si7B3Mo8-6809_POSCAR, -147.23
Si4B2P14-3690_POSCAR, -106.86
Si4B2Mo4P2-1183_POSCAR, -91.307
Si6B2-5425_POSCAR, -44.292
Mo3P5-5703_POSCAR, -62.173
Si4B3P5-1386_POSCAR, -69.442
B2Mo4P2-3094_POSCAR, -71.036
B3Mo2P2-2474_POSCAR, -53.017
B2Mo4P3-7285_POSCAR, -74.953
Si4Mo2P4-6194_POSCAR, -65.473
Si8B3P3-6601_POSCAR, -77.668
Si5Mo4P11-5763_POSCAR, -132.56
Si1B2P4-3822_POSCAR, -40.541
Si1Mo3-387_POSCAR, -37.909
Si2Mo1P3-5375_POSCAR, -38.552
Si4P4-149_POSCAR, -41.487
Si8-245_POSCAR, -41.964
